1301972,4910.334,1031.0,0.0,2970.667,0.0,0.0,0.0,28,28,'R','50',0.5,'N',0.0,0.3,3777.18,0.0,3023.18,4054.18,2027.09,1,56,'2020',649.0,0.0,' Royal Navy Glistening Palms All Print PearlEssence Emb','  Pattern??',0,'Wall: 20 mil - Bottom: 20 mil','1',0,'28','28',5,1530,1,'E','NC',0.0
1301972,4910.334,1031.0,0.0,2970.667,0.0,0.0,0.0,28,28,'R','50',0.5,'N',0.0,0.3,3777.18,0.15,3589.7569999999996,4620.757,2310.3785,1,56,'2820',649.0,0.0,' Royal Navy Glistening Palms All Print PearlEssence Emb','  Pattern??',0,'Wall: 28 mil - Bottom: 20 mil','3',0,'28','28',5,1530,1,'E','NC',0.0
1301972,4910.334,1031.0,0.0,2970.667,0.0,0.0,0.0,28,28,'R','50',0.5,'N',0.0,0.3,3777.18,0.3,4156.334,5187.334,2593.667,1,56,'2828',649.0,0.0,' Royal Navy Glistening Palms All Print PearlEssence Emb','  Pattern??',0,'Wall: 28 mil - Bottom: 28 mil','4',0,'28','28',5,1530,1,'E','NC',0.0
1301972,4910.334,1031.0,0.0,2970.667,0.0,0.0,0.0,28,28,'R','50',0.5,'N',0.0,0.3,3777.18,0.15,3589.7569999999996,4620.757,2310.3785,1,56,'2028',649.0,0.0,' Royal Navy Glistening Palms All Print PearlEssence Emb','  Pattern??',0,'Wall: 20 mil - Bottom: 28 mil','5',0,'28','28',5,1530,1,'E','NC',0.0
1301972,4910.334,1031.0,0.0,2970.667,0.0,0.0,0.0,28,28,'R','50',0.5,'N',0.0,0.3,3777.18,0.0,3023.18,3233.18,2132.09,1,56,'2020_pearl',649.0,0.0,' PearlEssence Pattern??','',0,'Wall: 20 mil - Bottom: 20 mil','6',0,'A','A',5,1362,0,'E','NC',0.0
1301972,4910.334,1031.0,0.0,2970.667,0.0,0.0,0.0,28,28,'R','50',0.5,'N',0.0,0.3,3777.18,0.15,3589.7569999999996,3799.7569999999996,2415.3785,1,56,'2820_pearl',649.0,0.0,' PearlEssence Pattern??','',0,'Wall: 28 mil - Bottom: 20 mil','7',0,'A','A',5,1362,0,'E','NC',0.0
1301972,4910.334,1031.0,0.0,2970.667,0.0,0.0,0.0,28,28,'R','50',0.5,'N',0.0,0.3,3777.18,0.15,3589.7569999999996,3799.7569999999996,2415.3785,1,56,'2028_pearl',649.0,0.0,' PearlEssence Pattern??','',0,'Wall: 20 mil - Bottom: 28 mil','9',0,'A','A',5,1362,0,'E','NC',0.0
1301972,4910.334,1031.0,0.0,2970.667,0.0,0.0,0.0,28,28,'R','50',0.5,'N',0.0,0.3,3777.18,0.0,3023.18,3777.18,2404.09,1,56,'2020_emboss',649.0,0.0,' Embossed Pattern??','',0,'Wall: 20 mil - Bottom: 20 mil','10',0,'28','28',5,1544,0,'E','NC',0.0
1301972,4910.334,1031.0,0.0,2970.667,0.0,0.0,0.0,28,28,'R','50',0.5,'N',0.0,0.3,3777.18,0.15,3589.7569999999996,4343.757,2687.3785,1,56,'2820_emboss',649.0,0.0,' Embossed Pattern??','',0,'Wall: 28 mil - Bottom: 20 mil','11',0,'28','28',5,1544,0,'E','NC',0.0
1301972,4910.334,1031.0,0.0,2970.667,0.0,0.0,0.0,28,28,'R','50',0.5,'N',0.0,0.3,3777.18,0.3,4156.334,4910.334,2970.667,1,56,'2828_emboss',649.0,0.0,' Embossed Pattern??','',0,'Wall: 28 mil - Bottom: 28 mil','12',0,'28','28',5,1544,0,'E','NC',0.0
1301972,4910.334,1031.0,0.0,2970.667,0.0,0.0,0.0,28,28,'R','50',0.5,'N',0.0,0.3,3777.18,0.15,3589.7569999999996,4343.757,2687.3785,1,56,'2028_emboss',649.0,0.0,' Embossed Pattern??','',0,'Wall: 20 mil - Bottom: 28 mil','13',0,'28','28',5,1544,0,'E','NC',0.0
