Table,Status,Rows,Elapsed_sec
leads_print,SUCCESS,186063,4.4406
leads_print_que,SUCCESS,191043,5.7614
leads_questions_master,SUCCESS,10,0.0088
leads_source,SUCCESS,687,0.0346
leads_survey,SUCCESS,165922,4.2059
leads_swaf,SUCCESS,85,0.0163
liner_ag_production,SUCCESS,1546,0.0562
liner_cover_estimate,SUCCESS,0,0.0032
liner_error_report,SUCCESS,977,0.1090
liner_error_report_action_history,SUCCESS,1231,0.0541
liner_error_report_action_master,SUCCESS,8,0.0110
liner_error_report_explanation_history,SUCCESS,1279,0.0611
liner_error_report_fault_master,SUCCESS,6,0.0099
liner_tracking,SUCCESS,44427,1.0380
liner_wall,SUCCESS,185,0.0184
liners_mfg,SUCCESS,35,0.0112
linked_jobs,SUCCESS,10468,0.2169
lll_users,FAILED,0,0.0303
ln_above_grounds,SUCCESS,323,0.0349
ln_above_grounds_Old_pricing,SUCCESS,350,0.0196
ln_bead_types,SUCCESS,6,0.0103
log,SUCCESS,41004076,1263.4562
log_status,SUCCESS,70,0.0139
machine_parts,FAILED,0,0.3273
machine_parts_removed_entry,FAILED,0,0.3277
machine_parts_removed_group,FAILED,0,0.3273
machine_parts_taken_out,FAILED,0,0.3274
machine_production,FAILED,0,0.3276
machine_sewing,FAILED,0,0.3275
markdowns_subdepartment,SUCCESS,44,0.0180
material,SUCCESS,5,0.0113
material_code,SUCCESS,1892,0.1509
material_code_special_alerts,SUCCESS,352,0.0197
material_code_speciality_group,SUCCESS,24,0.0140
material_code_speciality_group_detail,SUCCESS,319,0.0179
material_components,SUCCESS,93,0.0141
material_hardware,SUCCESS,160,0.0195
material_product,SUCCESS,1081,0.0453
material_usage,SUCCESS,52284,1.0613
measure_history,SUCCESS,10670,0.5041
menu_data,SUCCESS,518,0.0379
menu_user,SUCCESS,5486,0.1612
messages,SUCCESS,9,0.0134
money_recieved,SUCCESS,238223,7.4280
money_recieved_detail,SUCCESS,315464,12.6065
newcard,SUCCESS,61075,15.3187
omit_worksheet_Special_instructions,SUCCESS,3,0.0073
open_estimates,SUCCESS,21120,0.7822
pfc_history,SUCCESS,62,0.0213
pferrorlog,SUCCESS,5,0.0121
pferrormsg,SUCCESS,6,0.0109
pfuser_pref,SUCCESS,0,0.0031
plot_serial,SUCCESS,10099,0.3172
po_materials,SUCCESS,2142,0.0976
prep,SUCCESS,977917,514.7278
prep_alter,SUCCESS,10106,0.2831
prep_auto_converted,SUCCESS,4696,0.1497
prep_blue_dot,SUCCESS,1457889,131.2912
prep_calc_freight,SUCCESS,71954,1.7024
prep_cancel_fee,SUCCESS,0,0.0064
prep_cfa_pricechange_log,SUCCESS,781204,21.0413
prep_cfa_second,SUCCESS,3269,0.0918
prep_claimed_drafting,FAILED,0,0.3261
prep_claimed_imageloc,SUCCESS,18303,0.4074
prep_claimed_jobs,SUCCESS,53938,1.1972
prep_claimed_jobs_cs,SUCCESS,17973,0.3961
prep_claimed_plot,SUCCESS,27228,0.6567
prep_comments,SUCCESS,8262083,321.5252
prep_cpu_signature,SUCCESS,27717,20.3047
prep_custom_stock,SUCCESS,325,0.0279
prep_easyjob,SUCCESS,281320,5.3836
prep_error,SUCCESS,0,0.0038
prep_file_location,FAILED,0,0.0341
prep_finalize_tbc,SUCCESS,1409,0.0427
prep_flags,SUCCESS,578650,15.5382
prep_free_imageloc,SUCCESS,554,0.0249
prep_generational,SUCCESS,5491,0.1785
prep_hardware,SUCCESS,5234567,185.1699
prep_image_loc,SUCCESS,20580,0.5817
prep_liner,SUCCESS,8858,0.2121
prep_linerwall_nobasket,FAILED,0,0.3319
prep_manf,SUCCESS,1149442,246.5832
prep_manf_admin,SUCCESS,1149417,53.9783
prep_ms,SUCCESS,17222,3.2433
prep_ms_additional_jobs,SUCCESS,167,0.0149
prep_ms_cs_input,SUCCESS,4576,0.6229
prep_ms_cv,SUCCESS,7705,0.5541
prep_ms_ln,SUCCESS,9420,0.2940
prep_multi_bleeped,SUCCESS,142892,3.6344
prep_nonups_tracking,SUCCESS,364,0.0203
prep_po,SUCCESS,15,0.0090
prep_print_rtn_que,SUCCESS,18433,0.4027
prep_production,SUCCESS,823418,16.5239
prep_quickdraw,SUCCESS,45884,0.8583
prep_ra_hardware,FAILED,0,0.0543
prep_Ra_temp,SUCCESS,32022,5.9227
prep_retail,SUCCESS,19114,0.9626
prep_return,SUCCESS,12659,0.5707
prep_return_no_workdone,SUCCESS,1808,0.0718
prep_return_no_workdown_detail,SUCCESS,198,0.0213
prep_rules,SUCCESS,3242869,111.9565
prep_special_instructions,SUCCESS,1925609,77.2459
prep_treatment,SUCCESS,991560,37.7750
prep_web_orders,SUCCESS,0,0.0030
prep_weights,SUCCESS,308599,7.4116
prepCAD,SUCCESS,100,0.1012
price,SUCCESS,51188,1.5608
price_extra_large,SUCCESS,0,0.0034
price_notes,SUCCESS,164,0.0190
product,SUCCESS,1154,0.2124
product_bluedot,FAILED,0,0.3243
product_hardware,SUCCESS,698,0.0333
product_out_of_stock,SUCCESS,0,0.0029
product_treatment,SUCCESS,447,0.0207
product_treatment_liner_thickness,SUCCESS,0,0.0038
product_wt_type,SUCCESS,50,0.0116
production_cap,SUCCESS,7566,0.1821
production_dates,SUCCESS,2,0.0091
production_detail,SUCCESS,557174,11.5248
proforma,SUCCESS,5973,0.1811
proforma_detail,SUCCESS,8475,0.1687
promo,SUCCESS,128930,8.1726
promo_dtl,SUCCESS,350514,10.3354
promo_master_liner_sample_cases,SUCCESS,9,0.0111
promo_type,FAILED,0,0.0346
promo_type_to_make_year,SUCCESS,0,0.0039
ptfe_exceptions,SUCCESS,2,0.0092
Purchase_Order,SUCCESS,8464,0.2320
que,SUCCESS,697052,26.0639
que_rtn_dealer_notify_prep,FAILED,0,0.3348
ra_nc_production_date,SUCCESS,4467,0.1536
RATimer,SUCCESS,856,0.0366
rebate,SUCCESS,3388,0.1265
repeat_jobs,SUCCESS,155,0.0174
replacement_cover_request,FAILED,0,0.0745
rtn,SUCCESS,96914,12.5397
rtn_bluesheet,FAILED,0,0.1412
rtn_bluesheet_cm,SUCCESS,2977,0.0813
rtn_bluesheet_cm_type,SUCCESS,5,0.0119
rtn_bluesheet_copy,SUCCESS,4459,0.0979
rtn_bluesheet_explanation_history,SUCCESS,56699,2.4213
rtn_bluesheet_file,SUCCESS,12399,0.3961
rtn_bluesheet_promo,SUCCESS,3560,0.0846
rtn_bluesheet_retail_address,SUCCESS,549,0.0464
rtn_bluesheet_rtn_reason,SUCCESS,119,0.0185
rtn_bluesheet_rtn_reason_category,SUCCESS,14,0.0104
rtn_bluesheet_sales_measure_error,SUCCESS,257,0.0166
rtn_bluesheet_type_return,SUCCESS,8,0.0110
rtn_location_areas,SUCCESS,276,0.0178
rtn_location_tracker,SUCCESS,4301,0.1393
rtn_no_workdone,SUCCESS,931,0.0283
rtn_retail_address,SUCCESS,3451,0.1290
rules,SUCCESS,229,0.0189
Sales_call_log,FAILED,0,2.4114
sales_call_log_responses,SUCCESS,75,0.0169
sales_territory_location,SUCCESS,52,0.0177
ship_rates,SUCCESS,7250,0.2777
ship_via,SUCCESS,203,0.0212
Ship_via_old,SUCCESS,59,0.0114
Ship_via_prep_1,SUCCESS,453,0.0263
ship_via_prep_2,SUCCESS,372,0.0276
ship_zone,SUCCESS,931,0.0464
slugs,SUCCESS,492,0.0370
special_discount,SUCCESS,0,0.0047
special_discount_detail,SUCCESS,0,0.0032
special_instructions,FAILED,0,0.0410
standards,FAILED,0,0.1509
standards_shape,SUCCESS,840,0.0456
standards_treatment,FAILED,0,0.0160
state,SUCCESS,200,0.0530
state_sales_territory,SUCCESS,271,0.0197
state_tax,SUCCESS,318,0.0220
state_tax_code_master,SUCCESS,890,0.0401
stock,SUCCESS,58877,1.8248
stock_backup,FAILED,0,0.0552
stock_copy,SUCCESS,7098,0.2086
stock_hardware,SUCCESS,0,0.0035
stock_hardware_option,SUCCESS,0,0.0033
stock_history,SUCCESS,488198,12.9423
stock_history_copy,SUCCESS,100952,2.5813
stock_its,SUCCESS,21,0.0091
stock_liner,SUCCESS,10,0.0104
stock_linked_id,SUCCESS,171,0.0220
stock_linked_id_og,FAILED,0,0.3280
stock_master,FAILED,0,0.1376
stock_master_upc,SUCCESS,102,0.0144
stock_move,SUCCESS,0,0.0031
stock_move_detail,SUCCESS,0,0.0029
stock_pick,SUCCESS,731,0.0297
stock_pick_detail,SUCCESS,3224,0.0989
stock_special,SUCCESS,543,0.0468
sub,SUCCESS,9,0.0101
syscon,FAILED,0,0.0984
t_dealer,SUCCESS,11412,0.3367
