Table,Status,Rows,Elapsed_sec,Error
bill_of_lading_header,FAILED,0,0.1154,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'shipping_cost_carrier_quote'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'shipping_cost_carrier_actual'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'quote_code'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'dimension_shipment'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'email_address'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'notes_difference_reason'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
bin_created,FAILED,0,0.3330,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""bin_created"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
bin_label,FAILED,0,0.3293,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""bin_label"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
bin_qty_removed,FAILED,0,0.3258,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""bin_qty_removed"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
cancel_charge,FAILED,0,0.0103,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'jobstatus'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
dealer_credit_history,FAILED,0,0.0222,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'discount_liner'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
dealer_file_location_financial,FAILED,0,0.3254,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""dealer_file_location_financial"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
dealer_promo_cover,FAILED,0,0.3277,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""dealer_promo_cover"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
dealer_promo_liner,FAILED,0,0.0473,"('42S22', ""[42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'promo_l093h'. (207) (SQLExecute); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'promo_l093h_sent'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'promo_h923'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Invalid column name 'promo_h923_sent'. (207); [42S22] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Statement(s) could not be prepared. (8180)"")"
dealer_sales_journal,FAILED,0,0.3265,"('42S02', '[42S02] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Cannot find the object ""dealer_sales_journal"" because it does not exist or you do not have permissions. (4701) (SQLExecDirectW)')"
